Time in s	CH I in Volt	CH II in Volt	
0.E+0	8.00E-02	-1.20E-03	
1.E-5	4.00E-02	-1.20E-03	
2.E-5	8.00E-02	-1.20E-03	
3.E-5	8.00E-02	-1.20E-03	
4.E-5	4.00E-02	-1.20E-03	
5.E-5	8.00E-02	-1.20E-03	
6.E-5	8.00E-02	-1.20E-03	
7.E-5	8.00E-02	-1.20E-03	
8.E-5	8.00E-02	-1.20E-03	
9.E-5	8.00E-02	-1.20E-03	
1.E-4	8.00E-02	-1.00E-03	
1.1E-4	8.00E-02	-1.20E-03	
1.2E-4	8.00E-02	-1.20E-03	
1.3E-4	8.00E-02	-1.20E-03	
1.4E-4	8.00E-02	-1.20E-03	
1.5E-4	8.00E-02	-1.20E-03	
1.6E-4	8.00E-02	-1.20E-03	
1.7E-4	8.00E-02	-1.20E-03	
1.8E-4	8.00E-02	-1.20E-03	
1.9E-4	8.00E-02	-1.20E-03	
2.E-4	4.00E-02	-1.20E-03	
2.1E-4	8.00E-02	-1.20E-03	
2.2E-4	8.00E-02	-1.20E-03	
2.3E-4	8.00E-02	-1.20E-03	
2.4E-4	8.00E-02	-1.20E-03	
2.5E-4	4.00E-02	-1.20E-03	
2.6E-4	4.00E-02	-1.20E-03	
2.7E-4	8.00E-02	-1.20E-03	
2.8E-4	8.00E-02	-1.20E-03	
2.9E-4	8.00E-02	-1.20E-03	
3.E-4	8.00E-02	-1.20E-03	
3.1E-4	8.00E-02	-1.20E-03	
3.2E-4	8.00E-02	-1.20E-03	
3.3E-4	8.00E-02	-1.20E-03	
3.4E-4	4.00E-02	-1.20E-03	
3.5E-4	8.00E-02	-1.20E-03	
3.6E-4	8.00E-02	-1.20E-03	
3.7E-4	8.00E-02	-1.20E-03	
3.8E-4	8.00E-02	-1.20E-03	
3.9E-4	8.00E-02	-1.20E-03	
4.E-4	8.00E-02	-1.20E-03	
4.1E-4	8.00E-02	-1.20E-03	
4.2E-4	8.00E-02	-1.20E-03	
4.3E-4	8.00E-02	-1.20E-03	
4.4E-4	8.00E-02	-1.20E-03	
4.5E-4	8.00E-02	-1.20E-03	
4.6E-4	8.00E-02	-1.20E-03	
4.7E-4	8.00E-02	-1.20E-03	
4.8E-4	8.00E-02	-1.20E-03	
4.9E-4	8.00E-02	-1.20E-03	
5.E-4	8.00E-02	-1.20E-03	
5.1E-4	4.00E-02	-1.20E-03	
5.2E-4	4.00E-02	-1.20E-03	
5.3E-4	8.00E-02	-1.00E-03	
5.4E-4	4.00E-02	-1.20E-03	
5.5E-4	8.00E-02	-1.20E-03	
5.6E-4	8.00E-02	-1.20E-03	
5.7E-4	8.00E-02	-1.20E-03	
5.8E-4	8.00E-02	-1.20E-03	
5.9E-4	8.00E-02	-1.20E-03	
6.E-4	8.00E-02	-1.20E-03	
6.1E-4	8.00E-02	-1.20E-03	
6.2E-4	8.00E-02	-1.20E-03	
6.3E-4	8.00E-02	-1.20E-03	
6.4E-4	8.00E-02	-1.20E-03	
6.5E-4	8.00E-02	-1.20E-03	
6.6E-4	8.00E-02	-1.20E-03	
6.7E-4	4.00E-02	-1.20E-03	
6.8E-4	8.00E-02	-1.20E-03	
6.9E-4	8.00E-02	-1.00E-03	
7.E-4	8.00E-02	-1.20E-03	
7.1E-4	4.00E-02	-1.20E-03	
7.2E-4	8.00E-02	-1.20E-03	
7.3E-4	8.00E-02	-1.20E-03	
7.4E-4	8.00E-02	-1.20E-03	
7.5E-4	8.00E-02	-1.20E-03	
7.6E-4	8.00E-02	-1.20E-03	
7.7E-4	4.00E-02	-1.20E-03	
7.8E-4	4.00E-02	-1.20E-03	
7.9E-4	8.00E-02	-1.20E-03	
8.E-4	8.00E-02	-1.20E-03	
8.1E-4	8.00E-02	-1.20E-03	
8.2E-4	8.00E-02	-1.20E-03	
8.3E-4	4.00E-02	-1.20E-03	
8.4E-4	4.00E-02	-1.20E-03	
8.5E-4	8.00E-02	-1.20E-03	
8.6E-4	8.00E-02	-1.20E-03	
8.7E-4	8.00E-02	-1.20E-03	
8.8E-4	8.00E-02	-1.20E-03	
8.9E-4	8.00E-02	-1.20E-03	
9.E-4	8.00E-02	-1.20E-03	
9.1E-4	8.00E-02	-1.20E-03	
9.2E-4	4.00E-02	-1.20E-03	
9.3E-4	8.00E-02	-1.20E-03	
9.4E-4	8.00E-02	-1.20E-03	
9.5E-4	8.00E-02	-1.20E-03	
9.6E-4	8.00E-02	-1.00E-03	
9.7E-4	8.00E-02	-1.20E-03	
9.8E-4	8.00E-02	-1.20E-03	
9.9E-4	8.00E-02	-1.20E-03	
1.E-3	8.00E-02	-1.20E-03	
1.01E-3	8.00E-02	-1.00E-03	
1.02E-3	4.00E-02	-1.20E-03	
1.03E-3	4.00E-02	-1.20E-03	
1.04E-3	4.00E-02	-1.20E-03	
1.05E-3	8.00E-02	-1.20E-03	
1.06E-3	8.00E-02	-1.00E-03	
1.07E-3	4.00E-02	-1.20E-03	
1.08E-3	8.00E-02	-1.20E-03	
1.09E-3	8.00E-02	-1.20E-03	
1.1E-3	8.00E-02	-1.00E-03	
1.11E-3	8.00E-02	-1.20E-03	
1.12E-3	8.00E-02	-1.20E-03	
1.13E-3	8.00E-02	-1.20E-03	
1.14E-3	8.00E-02	-1.20E-03	
1.15E-3	8.00E-02	-1.20E-03	
1.16E-3	8.00E-02	-1.20E-03	
1.17E-3	8.00E-02	-1.20E-03	
1.18E-3	8.00E-02	-1.20E-03	
1.19E-3	8.00E-02	-1.20E-03	
1.2E-3	8.00E-02	-1.20E-03	
1.21E-3	8.00E-02	-1.20E-03	
1.22E-3	8.00E-02	-1.20E-03	
1.23E-3	4.00E-02	-1.20E-03	
1.24E-3	8.00E-02	-1.20E-03	
1.25E-3	8.00E-02	-1.20E-03	
1.26E-3	8.00E-02	-1.20E-03	
1.27E-3	8.00E-02	-1.20E-03	
1.28E-3	8.00E-02	-1.20E-03	
1.29E-3	8.00E-02	-1.20E-03	
1.3E-3	8.00E-02	-1.20E-03	
1.31E-3	8.00E-02	-1.20E-03	
1.32E-3	4.00E-02	-1.20E-03	
1.33E-3	8.00E-02	-1.00E-03	
1.34E-3	8.00E-02	-1.20E-03	
1.35E-3	8.00E-02	-1.20E-03	
1.36E-3	8.00E-02	-1.20E-03	
1.37E-3	8.00E-02	-1.20E-03	
1.38E-3	4.00E-02	-1.20E-03	
1.39E-3	8.00E-02	-1.20E-03	
1.4E-3	8.00E-02	-1.20E-03	
1.41E-3	8.00E-02	-1.20E-03	
1.42E-3	8.00E-02	-1.20E-03	
1.43E-3	8.00E-02	-1.20E-03	
1.44E-3	8.00E-02	-1.20E-03	
1.45E-3	8.00E-02	-1.20E-03	
1.46E-3	8.00E-02	-1.20E-03	
1.47E-3	8.00E-02	-1.20E-03	
1.48E-3	4.00E-02	-1.20E-03	
1.49E-3	8.00E-02	-1.20E-03	
1.5E-3	8.00E-02	-1.20E-03	
1.51E-3	8.00E-02	-1.20E-03	
1.52E-3	8.00E-02	-1.20E-03	
1.53E-3	4.00E-02	-1.20E-03	
1.54E-3	8.00E-02	-1.20E-03	
1.55E-3	4.00E-02	-1.00E-03	
1.56E-3	8.00E-02	-1.20E-03	
1.57E-3	8.00E-02	-1.20E-03	
1.58E-3	8.00E-02	-1.20E-03	
1.59E-3	8.00E-02	-1.20E-03	
1.6E-3	8.00E-02	-1.20E-03	
1.61E-3	8.00E-02	-1.20E-03	
1.62E-3	8.00E-02	-1.20E-03	
1.63E-3	8.00E-02	-1.20E-03	
1.64E-3	8.00E-02	-1.20E-03	
1.65E-3	8.00E-02	-1.20E-03	
1.66E-3	4.00E-02	-1.20E-03	
1.67E-3	8.00E-02	-1.20E-03	
1.68E-3	8.00E-02	-1.20E-03	
1.69E-3	8.00E-02	-1.20E-03	
1.7E-3	8.00E-02	-1.20E-03	
1.71E-3	8.00E-02	-1.20E-03	
1.72E-3	8.00E-02	-1.20E-03	
1.73E-3	8.00E-02	-1.20E-03	
1.74E-3	4.00E-02	-1.20E-03	
1.75E-3	8.00E-02	-1.20E-03	
1.76E-3	4.00E-02	-1.20E-03	
1.77E-3	8.00E-02	-1.20E-03	
1.78E-3	8.00E-02	-1.20E-03	
1.79E-3	8.00E-02	-1.20E-03	
1.8E-3	4.00E-02	-1.20E-03	
1.81E-3	8.00E-02	-1.20E-03	
1.82E-3	8.00E-02	-1.20E-03	
1.83E-3	8.00E-02	-1.20E-03	
1.84E-3	8.00E-02	-1.20E-03	
1.85E-3	8.00E-02	-1.20E-03	
1.86E-3	8.00E-02	-1.20E-03	
1.87E-3	8.00E-02	-1.20E-03	
1.88E-3	8.00E-02	-1.20E-03	
1.89E-3	8.00E-02	-1.20E-03	
1.9E-3	8.00E-02	-1.20E-03	
1.91E-3	8.00E-02	-1.20E-03	
1.92E-3	8.00E-02	-1.20E-03	
1.93E-3	8.00E-02	-1.20E-03	
1.94E-3	8.00E-02	-1.20E-03	
1.95E-3	8.00E-02	-1.20E-03	
1.96E-3	8.00E-02	-1.20E-03	
1.97E-3	8.00E-02	-1.20E-03	
1.98E-3	8.00E-02	-1.20E-03	
1.99E-3	8.00E-02	-1.20E-03	
2.E-3	8.00E-02	-1.20E-03	
2.01E-3	8.00E-02	-1.20E-03	
2.02E-3	8.00E-02	-1.20E-03	
2.03E-3	8.00E-02	-1.20E-03	
2.04E-3	8.00E-02	-1.20E-03	
2.05E-3	8.00E-02	-1.20E-03	
2.06E-3	8.00E-02	-1.20E-03	
2.07E-3	8.00E-02	-1.20E-03	
2.08E-3	8.00E-02	-1.00E-03	
2.09E-3	8.00E-02	-1.20E-03	
2.1E-3	8.00E-02	-1.20E-03	
2.11E-3	8.00E-02	-1.20E-03	
2.12E-3	8.00E-02	-1.20E-03	
2.13E-3	8.00E-02	-1.20E-03	
2.14E-3	8.00E-02	-1.00E-03	
2.15E-3	4.00E-02	-1.20E-03	
2.16E-3	8.00E-02	-1.20E-03	
2.17E-3	8.00E-02	-1.20E-03	
2.18E-3	8.00E-02	-1.20E-03	
2.19E-3	8.00E-02	-1.20E-03	
2.2E-3	4.00E-02	-1.20E-03	
2.21E-3	8.00E-02	-1.20E-03	
