Time,CH A,CH B,
0.E+0,-1.6373E-3,1.05859E-1,
5.0025E-3,-8.373E-4,7.3859E-2,
1.0005E-2,-8.373E-4,7.3859E-2,
1.50075E-2,-3.73E-5,5.7859E-2,
2.001E-2,-3.73E-5,4.9859E-2,
2.50125E-2,-3.73E-5,4.9859E-2,
3.0015E-2,-8.373E-4,5.7859E-2,
3.50175E-2,-8.373E-4,8.1859E-2,
4.002E-2,-1.6373E-3,1.05859E-1,
4.50225E-2,-2.4373E-3,1.21859E-1,
5.0025E-2,-1.6373E-3,1.37859E-1,
5.50275E-2,-1.6373E-3,1.45859E-1,
6.003E-2,-1.6373E-3,1.45859E-1,
6.50325E-2,-2.4373E-3,1.37859E-1,
7.0035E-2,-2.4373E-3,1.21859E-1,
7.50375E-2,-2.4373E-3,9.7859E-2,
8.004E-2,-3.2373E-3,8.1859E-2,
8.50425E-2,-3.2373E-3,6.5859E-2,
9.0045E-2,-3.2373E-3,5.7859E-2,
9.50475E-2,-2.4373E-3,4.9859E-2,
1.0005E-1,-2.4373E-3,4.9859E-2,
1.05053E-1,-3.2373E-3,6.5859E-2,
1.10055E-1,-2.4373E-3,8.9859E-2,
1.15058E-1,-3.2373E-3,1.13859E-1,
1.2006E-1,-2.4373E-3,1.29859E-1,
1.25063E-1,-2.4373E-3,1.45859E-1,
1.30065E-1,-2.4373E-3,1.45859E-1,
1.35068E-1,-1.6373E-3,1.45859E-1,
1.4007E-1,-1.6373E-3,1.29859E-1,
1.45073E-1,-3.2373E-3,1.21859E-1,
1.50075E-1,-2.4373E-3,9.7859E-2,
1.55078E-1,-2.4373E-3,8.1859E-2,
1.6008E-1,-2.4373E-3,5.7859E-2,
1.65083E-1,-3.2373E-3,5.7859E-2,
1.70085E-1,-3.2373E-3,4.9859E-2,
1.75088E-1,-2.4373E-3,5.7859E-2,
1.8009E-1,-1.6373E-3,7.3859E-2,
1.85093E-1,-1.6373E-3,1.05859E-1,
1.90095E-1,-2.4373E-3,1.21859E-1,
1.95098E-1,-2.4373E-3,1.37859E-1,
2.001E-1,-1.6373E-3,1.45859E-1,
2.05103E-1,-2.4373E-3,1.45859E-1,
2.10105E-1,-2.4373E-3,1.45859E-1,
2.15108E-1,-2.4373E-3,1.29859E-1,
2.2011E-1,-1.6373E-3,1.13859E-1,
2.25113E-1,-1.6373E-3,9.7859E-2,
2.30115E-1,-8.373E-4,7.3859E-2,
2.35118E-1,-3.73E-5,6.5859E-2,
2.4012E-1,-3.73E-5,4.9859E-2,
2.45123E-1,-8.373E-4,5.7859E-2,
2.50125E-1,-8.373E-4,6.5859E-2,
2.55128E-1,-8.373E-4,8.9859E-2,
2.6013E-1,-3.73E-5,1.05859E-1,
2.65133E-1,-8.373E-4,1.29859E-1,
2.70135E-1,-8.373E-4,1.37859E-1,
2.75138E-1,-3.73E-5,1.53859E-1,
2.8014E-1,7.627E-4,1.45859E-1,
2.85143E-1,-8.373E-4,1.53859E-1,
2.90145E-1,1.5627E-3,1.29859E-1,
2.95148E-1,-3.73E-5,1.13859E-1,
3.0015E-1,7.627E-4,9.7859E-2,
3.05153E-1,-3.73E-5,8.1859E-2,
3.10155E-1,-3.73E-5,6.5859E-2,
3.15158E-1,-8.373E-4,5.7859E-2,
3.2016E-1,-3.73E-5,5.7859E-2,
3.25163E-1,-8.373E-4,6.5859E-2,
3.30165E-1,-8.373E-4,9.7859E-2,
3.35168E-1,-8.373E-4,1.13859E-1,
3.4017E-1,-1.6373E-3,1.29859E-1,
3.45173E-1,-8.373E-4,1.45859E-1,
3.50175E-1,-8.373E-4,1.53859E-1,
3.55178E-1,-1.6373E-3,1.53859E-1,
3.6018E-1,-1.6373E-3,1.45859E-1,
3.65183E-1,-1.6373E-3,1.37859E-1,
3.70185E-1,-1.6373E-3,1.13859E-1,
3.75188E-1,-8.373E-4,8.9859E-2,
3.8019E-1,7.627E-4,7.3859E-2,
