Time,CH A,CH B,
0.E+0,1.5627E-2,-4.5535E-2,
1.0005E-4,1.5627E-2,-4.5535E-2,
2.001E-4,1.5627E-2,-4.5535E-2,
3.0015E-4,2.3627E-2,-4.5535E-2,
4.002E-4,2.3627E-2,-4.5535E-2,
5.0025E-4,3.1627E-2,-4.5535E-2,
6.003E-4,3.1627E-2,-4.5535E-2,
7.0035E-4,2.3627E-2,-4.5535E-2,
8.004E-4,2.3627E-2,-4.5535E-2,
9.0045E-4,2.3627E-2,-4.5535E-2,
1.0005E-3,2.3627E-2,-4.5535E-2,
1.10055E-3,3.1627E-2,-4.5535E-2,
1.2006E-3,2.3627E-2,-4.7535E-2,
1.30065E-3,3.1627E-2,-4.5535E-2,
1.4007E-3,3.1627E-2,-4.5535E-2,
1.50075E-3,3.9627E-2,-4.5535E-2,
1.6008E-3,2.3627E-2,-4.5535E-2,
1.70085E-3,2.3627E-2,-4.5535E-2,
1.8009E-3,1.5627E-2,-4.5535E-2,
1.90095E-3,2.3627E-2,-4.7535E-2,
2.001E-3,2.3627E-2,-4.5535E-2,
2.10105E-3,2.3627E-2,-4.5535E-2,
2.2011E-3,2.3627E-2,-4.5535E-2,
2.30115E-3,1.5627E-2,-4.9535E-2,
2.4012E-3,2.3627E-2,-4.5535E-2,
2.50125E-3,2.3627E-2,-4.7535E-2,
2.6013E-3,1.5627E-2,-4.7535E-2,
2.70135E-3,2.3627E-2,-4.7535E-2,
2.8014E-3,1.5627E-2,-4.7535E-2,
2.90145E-3,1.5627E-2,-4.9535E-2,
3.0015E-3,1.5627E-2,-4.7535E-2,
3.10155E-3,1.5627E-2,-4.7535E-2,
3.2016E-3,7.627E-3,-4.7535E-2,
3.30165E-3,7.627E-3,-4.7535E-2,
3.4017E-3,-3.73E-4,-4.7535E-2,
3.50175E-3,-3.73E-4,-4.9535E-2,
3.6018E-3,-3.73E-4,-4.7535E-2,
3.70185E-3,-8.373E-3,-4.7535E-2,
3.8019E-3,-3.73E-4,-4.7535E-2,
3.90195E-3,-3.73E-4,-4.5535E-2,
4.002E-3,-8.373E-3,-4.5535E-2,
4.10205E-3,-8.373E-3,-4.7535E-2,
4.2021E-3,-8.373E-3,-4.7535E-2,
4.30215E-3,-1.6373E-2,-4.7535E-2,
4.4022E-3,-8.373E-3,-4.9535E-2,
