Time,CH A,CH B,
0.E+0,4.3813E-2,4.0465E-2,
5.0025E-5,4.7813E-2,4.2465E-2,
1.0005E-4,5.1813E-2,4.2465E-2,
1.50075E-4,4.7813E-2,4.0465E-2,
2.001E-4,4.7813E-2,4.2465E-2,
2.50125E-4,4.3813E-2,4.0465E-2,
3.0015E-4,4.7813E-2,4.0465E-2,
3.50175E-4,4.7813E-2,4.2465E-2,
4.002E-4,4.3813E-2,4.2465E-2,
4.50225E-4,4.3813E-2,4.2465E-2,
5.0025E-4,3.9813E-2,4.2465E-2,
5.50275E-4,3.5813E-2,4.2465E-2,
6.003E-4,3.1813E-2,4.2465E-2,
6.50325E-4,3.5813E-2,4.0465E-2,
7.0035E-4,3.9813E-2,4.0465E-2,
7.50375E-4,3.1813E-2,4.2465E-2,
8.004E-4,3.1813E-2,4.2465E-2,
8.50425E-4,3.5813E-2,4.2465E-2,
9.0045E-4,3.1813E-2,4.0465E-2,
9.50475E-4,3.5813E-2,4.0465E-2,
1.0005E-3,3.5813E-2,4.2465E-2,
1.05053E-3,3.1813E-2,3.8465E-2,
1.10055E-3,2.7813E-2,4.0465E-2,
1.15058E-3,2.7813E-2,4.0465E-2,
1.2006E-3,3.1813E-2,4.2465E-2,
1.25063E-3,3.5813E-2,4.0465E-2,
1.30065E-3,3.1813E-2,4.2465E-2,
1.35068E-3,3.1813E-2,4.2465E-2,
1.4007E-3,3.1813E-2,4.0465E-2,
1.45073E-3,2.7813E-2,4.0465E-2,
1.50075E-3,2.7813E-2,4.2465E-2,
1.55078E-3,2.7813E-2,4.0465E-2,
1.6008E-3,3.1813E-2,3.8465E-2,
1.65083E-3,2.7813E-2,4.0465E-2,
1.70085E-3,2.7813E-2,4.2465E-2,
1.75088E-3,3.1813E-2,4.0465E-2,
1.8009E-3,3.1813E-2,4.0465E-2,
1.85093E-3,2.3813E-2,4.0465E-2,
1.90095E-3,3.1813E-2,4.0465E-2,
1.95098E-3,3.1813E-2,4.0465E-2,
2.001E-3,3.1813E-2,4.0465E-2,
2.05103E-3,3.1813E-2,4.2465E-2,
2.10105E-3,2.3813E-2,4.0465E-2,
2.15108E-3,2.3813E-2,4.0465E-2,
2.2011E-3,3.1813E-2,3.8465E-2,
2.25113E-3,3.1813E-2,4.0465E-2,
2.30115E-3,2.3813E-2,4.0465E-2,
2.35118E-3,2.7813E-2,4.0465E-2,
2.4012E-3,1.9813E-2,4.0465E-2,
2.45123E-3,2.3813E-2,3.8465E-2,
2.50125E-3,2.3813E-2,4.0465E-2,
2.55128E-3,1.9813E-2,3.8465E-2,
2.6013E-3,2.7813E-2,4.2465E-2,
2.65133E-3,2.3813E-2,3.8465E-2,
2.70135E-3,2.3813E-2,4.0465E-2,
2.75138E-3,2.7813E-2,3.8465E-2,
2.8014E-3,2.3813E-2,3.8465E-2,
2.85143E-3,1.9813E-2,3.8465E-2,
2.90145E-3,1.9813E-2,3.8465E-2,
2.95148E-3,2.7813E-2,3.8465E-2,
3.0015E-3,2.3813E-2,4.0465E-2,
3.05153E-3,2.7813E-2,3.6465E-2,
3.10155E-3,2.7813E-2,4.0465E-2,
3.15158E-3,3.1813E-2,4.0465E-2,
3.2016E-3,2.7813E-2,3.8465E-2,
3.25163E-3,2.7813E-2,3.8465E-2,
3.30165E-3,2.3813E-2,3.8465E-2,
3.35168E-3,2.3813E-2,3.8465E-2,
3.4017E-3,2.3813E-2,3.8465E-2,
3.45173E-3,1.9813E-2,3.8465E-2,
3.50175E-3,2.7813E-2,3.8465E-2,
3.55178E-3,2.7813E-2,3.8465E-2,
3.6018E-3,3.1813E-2,3.8465E-2,
3.65183E-3,2.7813E-2,3.8465E-2,
3.70185E-3,2.3813E-2,3.8465E-2,
3.75188E-3,2.3813E-2,3.8465E-2,
3.8019E-3,1.9813E-2,4.0465E-2,
