Time,CH A,CH B,
0.E+0,-7.29126E+0,-5.709E-1,
2.50125E-2,-6.69126E+0,2.91E-2,
5.0025E-2,-7.29126E+0,-5.709E-1,
7.50375E-2,-6.49126E+0,2.91E-2,
1.0005E-1,-6.89126E+0,-5.709E-1,
1.25063E-1,-6.29126E+0,2.291E-1,
1.50075E-1,-6.89126E+0,-5.709E-1,
1.75088E-1,-6.09126E+0,2.91E-2,
2.001E-1,-6.49126E+0,-5.709E-1,
2.25113E-1,-5.89126E+0,2.91E-2,
2.50125E-1,-6.49126E+0,-3.709E-1,
2.75138E-1,-5.69126E+0,2.91E-2,
3.0015E-1,-6.09126E+0,-5.709E-1,
3.25163E-1,-5.49126E+0,2.291E-1,
3.50175E-1,-5.89126E+0,-5.709E-1,
3.75188E-1,-5.09126E+0,2.291E-1,
4.002E-1,-5.69126E+0,-5.709E-1,
4.25213E-1,-4.89126E+0,2.91E-2,
4.50225E-1,-5.49126E+0,-5.709E-1,
4.75238E-1,-4.69126E+0,2.91E-2,
5.0025E-1,-5.09126E+0,-5.709E-1,
5.25263E-1,-4.49126E+0,2.291E-1,
5.50275E-1,-4.89126E+0,-5.709E-1,
5.75288E-1,-4.09126E+0,2.291E-1,
6.003E-1,-4.49126E+0,-5.709E-1,
6.25313E-1,-3.69126E+0,2.291E-1,
6.50325E-1,-4.49126E+0,-5.709E-1,
6.75338E-1,-3.49126E+0,2.91E-2,
7.0035E-1,-4.09126E+0,-5.709E-1,
7.25363E-1,-3.29126E+0,2.91E-2,
7.50375E-1,-3.69126E+0,-5.709E-1,
7.75388E-1,-2.89126E+0,2.291E-1,
8.004E-1,-3.49126E+0,-5.709E-1,
8.25413E-1,-2.69126E+0,2.91E-2,
8.50425E-1,-3.29126E+0,-5.709E-1,
8.75438E-1,-2.49126E+0,2.91E-2,
9.0045E-1,-2.89126E+0,-5.709E-1,
9.25463E-1,-2.29126E+0,2.91E-2,
9.50475E-1,-2.69126E+0,-5.709E-1,
