Time,CH A,CH B,
0.E+0,-5.24272E-3,-3.78465E+0,
1.0005E-4,-9.24272E-3,-3.78465E+0,
2.001E-4,2.75728E-3,-3.78465E+0,
3.0015E-4,-5.32427E-2,-3.70465E+0,
4.002E-4,-1.72427E-2,-3.70465E+0,
5.0025E-4,-1.32427E-2,-3.78465E+0,
6.003E-4,-2.92427E-2,-3.78465E+0,
7.0035E-4,-2.12427E-2,-3.78465E+0,
8.004E-4,-7.72427E-2,-3.78465E+0,
9.0045E-4,-4.92427E-2,-3.78465E+0,
1.0005E-3,-3.72427E-2,-3.78465E+0,
1.10055E-3,-8.12427E-2,-3.78465E+0,
1.2006E-3,-9.72427E-2,-3.78465E+0,
1.30065E-3,-1.13243E-1,-3.78465E+0,
1.4007E-3,-5.32427E-2,-3.86465E+0,
1.50075E-3,-9.72427E-2,-3.86465E+0,
1.6008E-3,-1.29243E-1,-3.86465E+0,
1.70085E-3,-1.05243E-1,-3.86465E+0,
1.8009E-3,-1.37243E-1,-3.86465E+0,
1.90095E-3,-1.21243E-1,-3.86465E+0,
2.001E-3,-1.17243E-1,-3.94465E+0,
2.10105E-3,-1.13243E-1,-3.94465E+0,
2.2011E-3,-1.09243E-1,-3.86465E+0,
2.30115E-3,-1.49243E-1,-3.86465E+0,
2.4012E-3,-1.33243E-1,-3.94465E+0,
2.50125E-3,-1.33243E-1,-3.86465E+0,
2.6013E-3,-1.81243E-1,-3.94465E+0,
2.70135E-3,-1.81243E-1,-3.94465E+0,
2.8014E-3,-1.49243E-1,-3.94465E+0,
2.90145E-3,-1.21243E-1,-3.94465E+0,
3.0015E-3,-1.69243E-1,-3.94465E+0,
3.10155E-3,-1.73243E-1,-3.94465E+0,
3.2016E-3,-1.65243E-1,-3.94465E+0,
3.30165E-3,-1.73243E-1,-4.02465E+0,
3.4017E-3,-1.97243E-1,-4.02465E+0,
3.50175E-3,-1.85243E-1,-4.02465E+0,
3.6018E-3,-2.09243E-1,-4.02465E+0,
3.70185E-3,-2.01243E-1,-4.02465E+0,
3.8019E-3,-1.97243E-1,-4.02465E+0,
3.90195E-3,-2.45243E-1,-4.02465E+0,
4.002E-3,-2.17243E-1,-4.02465E+0,
4.10205E-3,-2.13243E-1,-4.02465E+0,
4.2021E-3,-2.37243E-1,-4.10465E+0,
4.30215E-3,-2.01243E-1,-4.02465E+0,
4.4022E-3,-2.09243E-1,-4.02465E+0,
4.50225E-3,-2.33243E-1,-4.10465E+0,
4.6023E-3,-1.85243E-1,-4.02465E+0,
4.70235E-3,-2.49243E-1,-4.02465E+0,
4.8024E-3,-2.01243E-1,-4.02465E+0,
4.90245E-3,-1.93243E-1,-4.02465E+0,
5.0025E-3,-2.05243E-1,-4.02465E+0,
5.10255E-3,-1.81243E-1,-4.02465E+0,
5.2026E-3,-2.21243E-1,-4.02465E+0,
5.30265E-3,-1.85243E-1,-4.02465E+0,
5.4027E-3,-1.49243E-1,-3.94465E+0,
5.50275E-3,-1.73243E-1,-3.94465E+0,
5.6028E-3,-1.37243E-1,-3.94465E+0,
5.70285E-3,-1.45243E-1,-3.94465E+0,
5.8029E-3,-1.85243E-1,-3.94465E+0,
5.90295E-3,-1.17243E-1,-3.94465E+0,
6.003E-3,-1.33243E-1,-3.94465E+0,
6.10305E-3,-1.25243E-1,-3.86465E+0,
6.2031E-3,-9.32427E-2,-3.86465E+0,
6.30315E-3,-1.13243E-1,-3.94465E+0,
6.4032E-3,-1.13243E-1,-3.86465E+0,
